epoch,epoch_time_s,lr,grad_norm,throughput_gs,gpu_memory_mb
0,358.0,0.0005,0.0,46.5,541.1
1,366.7,0.0005,0.0,45.4,541.1
2,374.1,0.0005,0.0,44.5,541.1
3,386.1,0.0005,0.0,43.1,604.0
4,377.4,0.0005,0.0,44.1,604.0
5,353.7,0.0005,0.0,47.0,604.0
6,349.8,0.0005,0.0,47.6,604.0
7,355.4,0.0005,0.0,46.8,604.0
8,349.1,0.0005,0.0,47.7,604.0
9,369.0,0.0005,0.0,45.1,604.0
10,391.6,0.0005,0.0,42.5,604.0
11,348.7,0.0005,0.0,47.7,604.0
12,349.0,0.0005,0.0,47.7,604.0
13,348.7,0.0005,0.0,47.7,604.0
14,349.0,0.0005,0.0,47.7,604.0
15,348.5,0.0005,0.0,47.7,604.0
16,348.8,0.0005,0.0,47.7,604.0
17,348.8,0.0005,0.0,47.7,604.0
18,349.8,0.0005,0.0,47.6,604.0
19,349.5,0.0005,0.0,47.6,604.0
20,348.4,0.0005,0.0,47.8,604.0
21,354.1,0.0005,0.0,47.0,604.0
22,348.6,0.0005,0.0,47.7,604.0
23,348.5,0.0005,0.0,47.8,604.0
24,348.6,0.0005,0.0,47.7,604.0
25,348.7,0.0005,0.0,47.7,604.0
26,348.6,0.0005,0.0,47.7,604.0
27,348.7,0.0005,0.0,47.7,604.0
28,348.5,0.0005,0.0,47.7,604.0
29,348.8,0.0005,0.0,47.7,604.0
30,350.6,0.0005,0.0,47.5,604.0
31,352.4,0.0005,0.0,47.2,604.0
32,361.0,0.0005,0.0,46.1,604.0
33,361.3,0.0005,0.0,46.1,604.0
34,349.6,0.0005,0.0,47.6,604.0
35,357.7,0.0005,0.0,46.5,604.0
36,354.0,0.0005,0.0,47.0,604.0
37,354.3,0.0005,0.0,47.0,604.0
38,351.4,0.0005,0.0,47.4,626.0
39,361.8,0.0005,0.0,46.0,626.0
40,352.5,0.0005,0.0,47.2,626.0
41,354.9,0.0005,0.0,46.9,626.0
42,361.8,0.0005,0.0,46.0,626.0
43,353.6,0.0005,0.0,47.1,626.0
44,357.8,0.0005,0.0,46.5,626.0
45,350.9,0.0005,0.0,47.4,626.0
46,357.7,0.0005,0.0,46.5,626.0
47,352.1,0.0005,0.0,47.3,626.0
48,351.8,0.0005,0.0,47.3,626.0
49,352.1,0.0005,0.0,47.3,626.0
50,357.3,0.0005,0.0,46.6,626.0
51,351.9,0.0005,0.0,47.3,626.0
52,352.1,0.0005,0.0,47.3,626.0
53,361.4,0.0005,0.0,46.0,626.0
54,351.9,0.0005,0.0,47.3,626.0
55,351.8,0.0005,0.0,47.3,626.0
56,352.0,0.0005,0.0,47.3,626.0
57,351.5,0.0005,0.0,47.3,626.0
58,351.2,0.0005,0.0,47.4,626.0
59,351.2,0.0005,0.0,47.4,666.4
60,351.6,0.0005,0.0,47.3,666.4
61,351.4,0.0005,0.0,47.3,666.4
62,353.6,0.0005,0.0,47.1,666.4
63,353.0,0.0005,0.0,47.1,666.4
64,361.4,0.0005,0.0,46.0,666.4
65,352.3,0.0005,0.0,47.2,666.4
66,351.8,0.0005,0.0,47.3,666.4
