run_id,date,dataset,architecture,hidden_dim,alignn_layers,transformer_layers,batch_size,best_mae_ef,best_r2_ef,best_mae_eah,best_r2_eah,best_mae_bg,best_r2_bg,gpu_hours,status
SL-20260630-002,2026-06-30T17:31:48.835830,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.568403422832489,0.5358825922012329,0.12561039626598358,0.3749995827674866,1.0478742122650146,0.2923750877380371,6.211,running
SL-20260701-001,2026-07-01T11:38:04.284980,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,,,,,,,,running
SL-20260701-002,2026-07-01T11:38:39.555999,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,,,,,,,,running
SL-20260701-003,2026-07-01T11:47:07.014399,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,,,,,,,,running
SL-20260701-004,2026-07-01T11:47:42.391386,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,,,,,,,,running
SL-20260701-005,2026-07-01T11:49:51.960555,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,,,,,,,,running
SL-20260701-006,2026-07-01T11:50:32.577748,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.7448082566261292,0.2999669909477234,0.14339563250541687,0.2751429080963135,1.2317923307418823,0.15185874700546265,0.117,running
SL-20260701-007,2026-07-01T11:58:57.838559,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.5181336998939514,0.5897193551063538,0.12520475685596466,0.422712504863739,1.0453113317489624,0.3060455322265625,7.861,running
SL-20260707-001,2026-07-07T11:03:04.490242,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.7403273582458496,0.3456665873527527,0.14955267310142517,0.20155203342437744,1.1690590381622314,0.09665662050247192,0.172,running
SL-20260707-001,2026-07-07T21:59:39.536125,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.7403273582458496,0.3456665873527527,0.14955267310142517,0.20155203342437744,1.1690590381622314,0.09665662050247192,0.172,running
SL-20260707-002,2026-07-07T22:12:00.024487,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.5791634917259216,0.5154622197151184,0.12743625044822693,0.37116914987564087,1.0821170806884766,0.27473628520965576,3.381,running
SL-20260708-001,2026-07-08T02:19:49.428161,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.5222486257553101,0.5871005058288574,0.1280215084552765,0.38544315099716187,1.0252200365066528,0.33850592374801636,15.829,completed
SL-20260708-001,2026-07-08T02:22:39.384046,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.5222486257553101,0.5871005058288574,0.1280215084552765,0.38544315099716187,1.0252200365066528,0.33850592374801636,15.829,completed
SL-20260708-002,2026-07-08T18:31:58.540893,v3_li_10000,ScandiumPINNGNN-v3-Li,128,4,2,16,0.6254261136054993,0.47737008333206177,0.12542763352394104,0.37130022048950195,1.1443041563034058,0.1843705177307129,1.524,running
